ID,in_the_wild
CVE-1999-0001,0
CVE-1999-0002,0
CVE-1999-0003,0
CVE-1999-0004,0
CVE-1999-0005,0
CVE-1999-0006,0
CVE-1999-0007,0
CVE-1999-0008,0
CVE-1999-0009,0
CVE-1999-0010,0
CVE-1999-0011,0
CVE-1999-0012,0
CVE-1999-0013,0
CVE-1999-0014,0
CVE-1999-0015,0
CVE-1999-0016,0
CVE-1999-0017,0
CVE-1999-0018,0
CVE-1999-0019,0
CVE-1999-0020,0
CVE-1999-0021,0
CVE-1999-0022,0
CVE-1999-0023,0
CVE-1999-0024,0
CVE-1999-0025,0
CVE-1999-0026,0
CVE-1999-0027,0
CVE-1999-0028,0
CVE-1999-0029,0
CVE-1999-0030,0
CVE-1999-0031,0
CVE-1999-0032,0
CVE-1999-0033,0
CVE-1999-0034,0
CVE-1999-0035,0
CVE-1999-0036,0
CVE-1999-0037,0
CVE-1999-0038,0
CVE-1999-0039,0
CVE-1999-0040,0
CVE-1999-0041,0
CVE-1999-0042,0
CVE-1999-0043,0
CVE-1999-0044,0
CVE-1999-0045,1
CVE-1999-0046,0
CVE-1999-0047,0
CVE-1999-0048,0
CVE-1999-0049,0
CVE-1999-0050,0
CVE-1999-0051,0
CVE-1999-0052,0
CVE-1999-0053,0
CVE-1999-0054,0
CVE-1999-0055,0
CVE-1999-0056,0
CVE-1999-0057,0
CVE-1999-0058,0
CVE-1999-0059,0
CVE-1999-0060,0
CVE-1999-0061,0
CVE-1999-0062,0
CVE-1999-0063,0
CVE-1999-0064,0
CVE-1999-0065,0
CVE-1999-0066,0
CVE-1999-0067,0
CVE-1999-0068,0
CVE-1999-0069,0
CVE-1999-0070,1
CVE-1999-0071,0
CVE-1999-0072,0
CVE-1999-0073,0
CVE-1999-0074,0
CVE-1999-0075,0
CVE-1999-0076,0
CVE-1999-0077,0
CVE-1999-0078,0
CVE-1999-0079,0
CVE-1999-0080,1
CVE-1999-0081,0
CVE-1999-0082,0
CVE-1999-0083,0
CVE-1999-0084,0
CVE-1999-0085,0
CVE-1999-0086,0
CVE-1999-0087,0
CVE-1999-0088,0
CVE-1999-0089,0
CVE-1999-0090,0
CVE-1999-0091,0
CVE-1999-0092,0
CVE-1999-0093,0
CVE-1999-0094,0
CVE-1999-0095,0
CVE-1999-0096,0
CVE-1999-0097,0
CVE-1999-0098,0
CVE-1999-0099,0
CVE-1999-0100,0
CVE-1999-0101,0
CVE-1999-0102,0
CVE-1999-0103,0
CVE-1999-0104,0
CVE-1999-0105,0
CVE-1999-0106,0
CVE-1999-0107,0
CVE-1999-0108,0
CVE-1999-0109,0
CVE-1999-0110,0
CVE-1999-0111,0
CVE-1999-0112,0
CVE-1999-0113,0
CVE-1999-0114,0
CVE-1999-0115,0
CVE-1999-0116,0
CVE-1999-0117,0
CVE-1999-0118,0
CVE-1999-0119,0
CVE-1999-0120,0
CVE-1999-0121,0
CVE-1999-0122,0
CVE-1999-0123,0
CVE-1999-0124,0
CVE-1999-0125,0
CVE-1999-0126,0
CVE-1999-0127,0
CVE-1999-0128,0
CVE-1999-0129,0
CVE-1999-0130,0
CVE-1999-0131,0
CVE-1999-0132,0
CVE-1999-0133,0
CVE-1999-0134,0
CVE-1999-0135,0
CVE-1999-0136,0
CVE-1999-0137,0
CVE-1999-0138,0
CVE-1999-0139,0
CVE-1999-0140,0
CVE-1999-0141,0
CVE-1999-0142,0
CVE-1999-0143,0
CVE-1999-0144,0
CVE-1999-0145,0
CVE-1999-0146,0
CVE-1999-0147,0
CVE-1999-0148,0
CVE-1999-0149,0
CVE-1999-0150,0
CVE-1999-0151,0
CVE-1999-0152,0
CVE-1999-0153,0
CVE-1999-0154,0
CVE-1999-0155,0
CVE-1999-0156,0
CVE-1999-0157,0
CVE-1999-0158,0
CVE-1999-0159,0
CVE-1999-0160,0
CVE-1999-0161,0
CVE-1999-0162,0
CVE-1999-0163,0
CVE-1999-0164,0
CVE-1999-0165,0
CVE-1999-0166,0
CVE-1999-0167,0
CVE-1999-0168,0
CVE-1999-0169,0
CVE-1999-0170,0
CVE-1999-0171,0
CVE-1999-0172,0
CVE-1999-0173,0
CVE-1999-0174,1
CVE-1999-0175,1
CVE-1999-0176,1
CVE-1999-0177,0
CVE-1999-0178,0
CVE-1999-0179,0
CVE-1999-0180,0
CVE-1999-0181,0
CVE-1999-0182,0
CVE-1999-0183,0
CVE-1999-0184,0
CVE-1999-0185,0
CVE-1999-0186,0
CVE-1999-0187,0
CVE-1999-0188,0
CVE-1999-0189,0
CVE-1999-0190,0
CVE-1999-0191,1
CVE-1999-0192,0
CVE-1999-0193,0
CVE-1999-0194,0
CVE-1999-0195,0
CVE-1999-0196,0
CVE-1999-0197,0
CVE-1999-0198,0
CVE-1999-0200,0
CVE-1999-0201,0
CVE-1999-0202,0
CVE-1999-0203,0
CVE-1999-0204,0
CVE-1999-0205,0
CVE-1999-0206,0
CVE-1999-0207,0
CVE-1999-0208,0
CVE-1999-0209,0
CVE-1999-0210,0
CVE-1999-0211,0
CVE-1999-0212,0
CVE-1999-0213,0
CVE-1999-0214,0
CVE-1999-0215,0
CVE-1999-0216,0
CVE-1999-0217,0
CVE-1999-0218,0
CVE-1999-0219,1
CVE-1999-0220,0
CVE-1999-0221,0
CVE-1999-0222,0
CVE-1999-0223,0
CVE-1999-0224,0
CVE-1999-0225,0
CVE-1999-0226,0
CVE-1999-0227,0
CVE-1999-0228,1
CVE-1999-0229,0
CVE-1999-0230,0
CVE-1999-0231,0
CVE-1999-0232,0
CVE-1999-0233,0
CVE-1999-0234,0
CVE-1999-0235,0
CVE-1999-0236,0
CVE-1999-0237,0
CVE-1999-0238,0
CVE-1999-0239,0
CVE-1999-0240,0
CVE-1999-0241,0
CVE-1999-0242,0
CVE-1999-0243,0
CVE-1999-0244,0
CVE-1999-0245,0
CVE-1999-0246,0
CVE-1999-0247,0
CVE-1999-0248,0
CVE-1999-0249,0
CVE-1999-0250,0
CVE-1999-0251,0
CVE-1999-0252,0
CVE-1999-0253,0
CVE-1999-0254,0
CVE-1999-0255,0
CVE-1999-0256,1
CVE-1999-0257,0
CVE-1999-0258,0
CVE-1999-0259,0
CVE-1999-0260,1
CVE-1999-0261,0
CVE-1999-0262,1
CVE-1999-0263,0
CVE-1999-0264,0
CVE-1999-0265,0
CVE-1999-0266,1
CVE-1999-0267,0
CVE-1999-0268,0
CVE-1999-0269,0
CVE-1999-0270,0
CVE-1999-0271,0
CVE-1999-0272,0
CVE-1999-0273,0
CVE-1999-0274,0
CVE-1999-0275,0
CVE-1999-0276,0
CVE-1999-0277,0
CVE-1999-0278,0
CVE-1999-0279,0
CVE-1999-0280,0
CVE-1999-0281,0
CVE-1999-0282,0
CVE-1999-0283,0
CVE-1999-0284,0
CVE-1999-0285,0
CVE-1999-0286,0
CVE-1999-0287,0
CVE-1999-0288,0
CVE-1999-0289,0
CVE-1999-0290,0
CVE-1999-0291,0
CVE-1999-0292,0
CVE-1999-0293,0
CVE-1999-0294,0
CVE-1999-0295,0
CVE-1999-0296,0
CVE-1999-0297,0
CVE-1999-0298,0
CVE-1999-0299,0
CVE-1999-0300,0
CVE-1999-0301,0
CVE-1999-0302,0
CVE-1999-0303,0
CVE-1999-0304,0
CVE-1999-0305,0
CVE-1999-0306,0
CVE-1999-0307,0
CVE-1999-0308,0
CVE-1999-0309,0
CVE-1999-0310,0
CVE-1999-0311,0
CVE-1999-0312,0
CVE-1999-0313,0
CVE-1999-0314,0
CVE-1999-0315,0
CVE-1999-0316,0
CVE-1999-0317,0
CVE-1999-0318,0
CVE-1999-0319,0
CVE-1999-0320,0
CVE-1999-0321,0
CVE-1999-0322,0
CVE-1999-0323,0
CVE-1999-0324,0
CVE-1999-0325,0
CVE-1999-0326,0
CVE-1999-0327,0
CVE-1999-0328,0
CVE-1999-0329,0
CVE-1999-0330,0
CVE-1999-0331,0
CVE-1999-0332,0
CVE-1999-0333,0
CVE-1999-0334,0
CVE-1999-0335,0
CVE-1999-0336,0
CVE-1999-0337,0
CVE-1999-0338,0
CVE-1999-0339,0
CVE-1999-0340,0
CVE-1999-0341,0
CVE-1999-0342,0
CVE-1999-0343,0
CVE-1999-0344,0
CVE-1999-0345,0
CVE-1999-0346,0
CVE-1999-0347,0
CVE-1999-0348,0
CVE-1999-0349,1
CVE-1999-0350,0
CVE-1999-0351,0
CVE-1999-0352,0
CVE-1999-0353,0
CVE-1999-0354,0
CVE-1999-0355,0
CVE-1999-0356,0
CVE-1999-0357,0
CVE-1999-0358,0
CVE-1999-0359,0
CVE-1999-0360,0
CVE-1999-0361,0
CVE-1999-0362,1
CVE-1999-0363,0
CVE-1999-0364,0
CVE-1999-0365,0
CVE-1999-0366,0
CVE-1999-0367,0
CVE-1999-0368,1
CVE-1999-0369,0
CVE-1999-0370,0
CVE-1999-0371,0
CVE-1999-0372,0
CVE-1999-0373,0
CVE-1999-0374,0
CVE-1999-0375,0
CVE-1999-0376,0
CVE-1999-0377,0
CVE-1999-0378,0
CVE-1999-0379,0
CVE-1999-0380,0
CVE-1999-0381,0
CVE-1999-0382,0
CVE-1999-0383,0
CVE-1999-0384,0
CVE-1999-0385,0
CVE-1999-0386,0
CVE-1999-0387,0
CVE-1999-0388,0
CVE-1999-0389,0
CVE-1999-0390,0
CVE-1999-0391,0
CVE-1999-0392,0
CVE-1999-0393,0
CVE-1999-0394,0
CVE-1999-0395,0
CVE-1999-0396,0
CVE-1999-0397,0
CVE-1999-0398,0
CVE-1999-0399,0
CVE-1999-0400,0
CVE-1999-0401,0
CVE-1999-0402,0
CVE-1999-0403,0
CVE-1999-0404,0
CVE-1999-0405,0
CVE-1999-0406,0
CVE-1999-0407,0
CVE-1999-0408,0
CVE-1999-0409,0
CVE-1999-0410,0
CVE-1999-0411,0
CVE-1999-0412,0
CVE-1999-0413,0
CVE-1999-0414,0
CVE-1999-0415,0
CVE-1999-0416,0
CVE-1999-0417,0
CVE-1999-0418,0
CVE-1999-0419,0
CVE-1999-0420,0
CVE-1999-0421,0
CVE-1999-0422,0
CVE-1999-0423,0
CVE-1999-0424,0
CVE-1999-0425,0
CVE-1999-0426,0
CVE-1999-0427,0
CVE-1999-0428,0
CVE-1999-0429,0
CVE-1999-0430,0
CVE-1999-0431,0
CVE-1999-0432,0
CVE-1999-0433,0
CVE-1999-0434,0
CVE-1999-0435,0
CVE-1999-0436,0
CVE-1999-0437,0
CVE-1999-0438,0
CVE-1999-0439,0
CVE-1999-0440,0
CVE-1999-0441,0
CVE-1999-0442,0
CVE-1999-0443,0
CVE-1999-0444,0
CVE-1999-0445,0
CVE-1999-0446,0
CVE-1999-0447,0
CVE-1999-0448,0
CVE-1999-0449,0
CVE-1999-0450,0
CVE-1999-0451,0
CVE-1999-0452,0
CVE-1999-0453,0
CVE-1999-0454,0
CVE-1999-0455,0
CVE-1999-0457,0
CVE-1999-0458,0
CVE-1999-0459,0
CVE-1999-0460,0
CVE-1999-0461,0
CVE-1999-0462,0
CVE-1999-0463,0
CVE-1999-0464,0
CVE-1999-0465,0
CVE-1999-0466,0
CVE-1999-0467,0
CVE-1999-0468,0
CVE-1999-0469,0
CVE-1999-0470,0
CVE-1999-0471,0
CVE-1999-0472,0
CVE-1999-0473,0
CVE-1999-0474,0
CVE-1999-0475,0
CVE-1999-0476,0
CVE-1999-0477,0
CVE-1999-0478,0
CVE-1999-0479,0
CVE-1999-0480,0
CVE-1999-0481,0
CVE-1999-0482,0
CVE-1999-0483,0
CVE-1999-0484,0
CVE-1999-0485,0
CVE-1999-0486,0
CVE-1999-0487,0
CVE-1999-0488,0
CVE-1999-0489,0
CVE-1999-0490,0
CVE-1999-0491,0
CVE-1999-0492,0
CVE-1999-0493,0
CVE-1999-0494,0
CVE-1999-0495,0
CVE-1999-0496,0
CVE-1999-0497,0
CVE-1999-0498,0
CVE-1999-0499,0
CVE-1999-0501,0
CVE-1999-0502,0
CVE-1999-0503,0
CVE-1999-0504,0
CVE-1999-0505,0
CVE-1999-0506,0
CVE-1999-0507,0
CVE-1999-0508,0
CVE-1999-0509,0
CVE-1999-0510,0
CVE-1999-0511,0
CVE-1999-0512,0
CVE-1999-0513,0
CVE-1999-0514,0
CVE-1999-0515,0
CVE-1999-0516,0
CVE-1999-0517,0
CVE-1999-0518,0
CVE-1999-0519,0
CVE-1999-0520,0
CVE-1999-0521,0
CVE-1999-0522,0
CVE-1999-0523,0
CVE-1999-0524,0
CVE-1999-0525,0
CVE-1999-0526,0
CVE-1999-0527,0
CVE-1999-0528,0
CVE-1999-0529,0
CVE-1999-0530,0
CVE-1999-0531,0
CVE-1999-0532,1
CVE-1999-0533,0
CVE-1999-0534,0
CVE-1999-0535,0
CVE-1999-0537,0
CVE-1999-0539,0
CVE-1999-0541,0
CVE-1999-0546,0
CVE-1999-0547,0
CVE-1999-0548,0
CVE-1999-0549,0
CVE-1999-0550,0
CVE-1999-0551,0
CVE-1999-0554,0
CVE-1999-0555,0
CVE-1999-0556,0
CVE-1999-0559,0
CVE-1999-0560,0
CVE-1999-0561,0
CVE-1999-0562,0
CVE-1999-0564,0
CVE-1999-0565,0
CVE-1999-0566,0
CVE-1999-0568,0
CVE-1999-0569,0
CVE-1999-0570,0
CVE-1999-0571,0
CVE-1999-0572,0
CVE-1999-0575,0
CVE-1999-0576,0
CVE-1999-0577,0
CVE-1999-0578,0
CVE-1999-0579,0
CVE-1999-0580,0
CVE-1999-0581,0
CVE-1999-0582,0
CVE-1999-0583,0
CVE-1999-0584,0
CVE-1999-0585,0
CVE-1999-0586,0
CVE-1999-0587,0
CVE-1999-0588,0
CVE-1999-0589,0
CVE-1999-0590,0
CVE-1999-0591,0
CVE-1999-0592,0
CVE-1999-0593,0
CVE-1999-0594,0
CVE-1999-0595,0
CVE-1999-0596,0
CVE-1999-0597,0
CVE-1999-0598,0
CVE-1999-0599,0
CVE-1999-0600,0
CVE-1999-0601,0
CVE-1999-0602,0
CVE-1999-0603,0
CVE-1999-0604,0
CVE-1999-0605,0
CVE-1999-0606,0
CVE-1999-0607,0
CVE-1999-0608,0
CVE-1999-0609,0
CVE-1999-0610,0
CVE-1999-0611,0
CVE-1999-0612,0
CVE-1999-0613,0
CVE-1999-0614,0
CVE-1999-0615,0
CVE-1999-0616,0
CVE-1999-0617,0
CVE-1999-0618,0
CVE-1999-0619,0
CVE-1999-0620,0
CVE-1999-0621,0
CVE-1999-0622,0
CVE-1999-0623,0
CVE-1999-0624,0
CVE-1999-0625,0
CVE-1999-0626,0
CVE-1999-0627,0
CVE-1999-0628,0
CVE-1999-0629,0
CVE-1999-0630,0
CVE-1999-0631,0
CVE-1999-0632,0
CVE-1999-0633,0
CVE-1999-0634,0
CVE-1999-0635,0
CVE-1999-0636,0
CVE-1999-0637,0
CVE-1999-0638,0
CVE-1999-0639,0
CVE-1999-0640,0
CVE-1999-0641,0
CVE-1999-0642,0
CVE-1999-0643,0
CVE-1999-0644,0
CVE-1999-0645,0
CVE-1999-0646,0
CVE-1999-0647,0
CVE-1999-0648,0
CVE-1999-0649,0
CVE-1999-0650,0
CVE-1999-0651,0
CVE-1999-0652,0
CVE-1999-0653,0
CVE-1999-0654,0
CVE-1999-0655,0
CVE-1999-0656,0
CVE-1999-0657,0
CVE-1999-0658,0
CVE-1999-0659,0
CVE-1999-0660,0
CVE-1999-0661,0
CVE-1999-0662,0
CVE-1999-0663,0
CVE-1999-0664,0
CVE-1999-0665,0
CVE-1999-0667,0
CVE-1999-0668,0
CVE-1999-0669,0
CVE-1999-0670,0
CVE-1999-0671,0
CVE-1999-0672,0
CVE-1999-0673,0
